Country Name,Country Code,Series Name,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Bolivia,BOL,Urban population growth (annual %),SP.URB.GROW,3.014605745,3.013951298,3.009189134,3.006737015,3.014814775,3.018302796,3.036595562,4.262449379,4.615800449,4.554349566,4.491383377,4.412381269,4.340449965,4.266448633,4.214664046,4.145247781,4.093126256,4.057837472,4.030628203,3.981534348,3.929596735,3.870792865,3.726038124,2.914232085,2.854182042,2.797561981,2.745656177,2.689829191,2.637035289,2.606485454,2.567184335,2.523355576,2.435139831,2.413013415,2.41208809,2.403514454,2.415829442,2.410537498,2.381759124,2.348063264,2.318055773,2.288918788,2.256926025,2.142585624,2.05728176,2.024039925,1.992876015,1.957559219,1.931539007,1.906590633,1.734334867,1.520030976,1.666722735,1.874698621
Bolivia,BOL,Population growth (annual %),SP.POP.GROW,2.242334243,2.247575102,2.246169342,2.249502701,2.260816592,2.265133094,2.289047404,2.30686985,2.29641042,2.276278231,2.248625418,2.218840924,2.183470742,2.152962371,2.136816387,2.115631583,2.101974701,2.109353951,2.119379991,2.117110262,2.102925671,2.083940915,2.040052056,1.983591371,1.935536666,1.888968087,1.85028163,1.805698058,1.765611118,1.745829284,1.717127233,1.686882296,1.672482638,1.67509392,1.682725099,1.685648902,1.704640623,1.710516527,1.688114369,1.665271206,1.644406818,1.622769787,1.599651762,1.573744476,1.544558778,1.516861198,1.48970584,1.461245723,1.433370907,1.406578238,1.233964427,1.019312841,1.164259073,1.373343823
Bolivia,BOL,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,21.04694761,21.4019345,21.76850217,22.14235673,22.52566713,22.91918368,23.32000253,23.71975507,24.13389018,24.56613559,25.02055948,25.49441595,25.99435236,26.51878499,27.06656682,27.63526924,28.22861393,28.83993245,29.47084547,30.12044517,30.79851706,31.50601576,32.23406048,32.75127504,33.29797826,33.87320316,34.47715058,35.10782453,35.77004771,36.45594237,37.17162236,37.91317366,38.14932101,38.27059785,38.39196887,38.51207926,38.6279052,38.74338734,38.87061411,39.00660675,39.15395717,39.31200997,39.4825428,39.66351662,39.85859196,40.06736449,40.28983848,40.52673755,40.77807557,40.97984592,41.25142737,41.60960212,41.90538599,42.10973575
Bolivia,BOL,"Population, total",SP.POP.TOTL,4590010,4694342,4800978,4910200,5022475,5137539,5256496,5379166,5504123,5630849,5758900,5888109,6018088,6149060,6281868,6416185,6552479,6692162,6835508,6981766,7130142,7280289,7430336,7579195,7727322,7874676,8021736,8167900,8313394,8459806,8606326,8752736,8900355,9050700,9204287,9360754,9521689,9685960,9850858,10016275,10182345,10348929,10515807,10682608,10848888,11014705,11180020,11344587,11508368,11671386,11816299,11937360,12077154,12244159
Bolivia,BOL,Urban population,SP.URB.TOTL,1825722,1881586,1939067,1998255,2059416,2122523,2187964,2283241,2391101,2502518,2617478,2735557,2856907,2981433,3109776,3241393,3376820,3516664,3661303,3810020,3962719,4119115,4275490,4401921,4529370,4657871,4787532,4918056,5049472,5182816,5317591,5453480,5587910,5724387,5864143,6006796,6153677,6303816,6455760,6609139,6764132,6920743,7078715,7232019,7382343,7533287,7684922,7836841,7989684,8143476,8285943,8412854,8554248,8716127
Bolivia,BOL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,39.776,40.082,40.389,40.696,41.004,41.314,41.624,42.446,43.442,44.443,45.451,46.459,47.472,48.486,49.504,50.519,51.535,52.549,53.563,54.571,55.577,56.579,57.541,58.079,58.615,59.15,59.682,60.212,60.739,61.264,61.787,62.306,62.783,63.248,63.711,64.17,64.628,65.082,65.535,65.984,66.43,66.874,67.315,67.699,68.047,68.393,68.738,69.08,69.425,69.773,70.123,70.475,70.83,71.186
Ecuador,ECU,Urban population growth (annual %),SP.URB.GROW,4.339292622,4.308826295,4.281953459,4.242514453,4.254116663,5.007115129,4.939565999,4.866062443,4.803859745,4.737743128,4.687165933,4.625552294,4.563705703,4.331944005,4.175082593,4.100127822,3.99855609,3.895971491,3.801548949,3.713173595,3.64948118,3.27749738,3.029445241,2.939982762,2.836691496,2.791824837,2.764719862,2.714940391,2.66962499,2.624815902,2.573885175,2.55657004,2.271821402,2.087555183,2.074746465,2.049627369,2.0353549,2.025605038,2.02030422,2.018281802,1.988625702,1.898028748,1.809876842,1.714674505,1.647270184,1.647254375,1.672382564,1.74329316,1.952597527,1.94756182,1.462167107,1.077751124,1.120927734,1.215678564
Ecuador,ECU,Population growth (annual %),SP.POP.GROW,2.970403843,2.955933694,2.937202942,2.913163882,2.881889595,2.845251469,2.80728612,2.773759862,2.74338363,2.712330909,2.693447594,2.670802672,2.640290496,2.625898547,2.616531034,2.571367852,2.490897273,2.41448752,2.339842508,2.281715328,2.238231257,2.160137143,2.105686637,2.029972984,1.934877404,1.901548806,1.884006233,1.847014078,1.812537732,1.776692529,1.736220015,1.730781231,1.748519702,1.764113179,1.752351565,1.729878696,1.718254175,1.707891732,1.705197788,1.705770208,1.677088053,1.641536977,1.592134406,1.497408961,1.432058866,1.430930598,1.458091478,1.52946084,1.71572391,1.689354796,1.181252582,0.774314024,0.796723652,0.872456027
Ecuador,ECU,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,19.82671439,20.10308433,20.38842193,20.68035072,20.98620626,21.33251553,21.69414139,22.06659945,22.45369057,22.85471053,23.26873158,23.69275454,24.13336526,24.37276432,24.46888531,24.5744405,24.70133558,24.8478775,25.01498381,25.19577514,25.38994677,25.53377847,25.64485979,25.77434444,25.9302666,26.09603854,26.26864054,26.45053119,26.64403702,26.84880956,27.06728065,27.28734372,27.35334063,27.31291073,27.27635062,27.24477532,27.21701225,27.19209803,27.16856343,27.14369005,27.1272318,27.1502634,27.2084974,27.29137766,27.39312774,27.49561745,27.59170947,27.66705297,27.69101725,27.64648324,27.74400414,27.95716024,28.16808804,28.36172113
Ecuador,ECU,"Population, total",SP.POP.TOTL,6155387,6340052,6529034,6722033,6918573,7118251,7320912,7526819,7736167,7948869,8165877,8386910,8611298,8840417,9074782,9311154,9545998,9779290,10010808,10241852,10473673,10702380,10930128,11154274,11372197,11590514,11810950,12031127,12251184,12470795,12689206,12910740,13138472,13372306,13608701,13846163,14086131,14328773,14575202,14825954,15076695,15326227,15572194,15807128,16035124,16266225,16505139,16759519,17049547,17340021,17546065,17682454,17823897,17980083
