Country Name,Country Code,Series Name,Series Code,Year,Value
Argentina,ARG,Urban population growth (annual %),SP.URB.GROW,1970,2.178048733
Argentina,ARG,Population growth (annual %),SP.POP.GROW,1970,1.560019413
Argentina,ARG,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,1970,44.03843284
Argentina,ARG,"Population, total",SP.POP.TOTL,1970,23878327
Argentina,ARG,Urban population,SP.URB.TOTL,1970,18835224
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1970,78.88
Argentina,ARG,Urban population growth (annual %),SP.URB.GROW,1971,2.131780345
Argentina,ARG,Population growth (annual %),SP.POP.GROW,1971,1.574258289
Argentina,ARG,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,1971,44.15938553
Argentina,ARG,"Population, total",SP.POP.TOTL,1971,24257208
Argentina,ARG,Urban population,SP.URB.TOTL,1971,19241060
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1971,79.321
Argentina,ARG,Urban population growth (annual %),SP.URB.GROW,1972,2.113898857
Argentina,ARG,Population growth (annual %),SP.POP.GROW,1972,1.583296226
Argentina,ARG,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,1972,44.2141494
Argentina,ARG,"Population, total",SP.POP.TOTL,1972,24644328
Argentina,ARG,Urban population,SP.URB.TOTL,1972,19652126
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1972,79.743
Argentina,ARG,Urban population growth (annual %),SP.URB.GROW,1973,2.135832441
Argentina,ARG,Population growth (annual %),SP.POP.GROW,1973,1.616756118
Argentina,ARG,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,1973,44.25233086
Argentina,ARG,"Population, total",SP.POP.TOTL,1973,25046005
Argentina,ARG,Urban population,SP.URB.TOTL,1973,20076377
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1973,80.158
Argentina,ARG,Urban population growth (annual %),SP.URB.GROW,1974,2.153677206
Argentina,ARG,Population growth (annual %),SP.POP.GROW,1974,1.644732158
Argentina,ARG,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,1974,44.27941785
Argentina,ARG,"Population, total",SP.POP.TOTL,1974,25461351
Argentina,ARG,Urban population,SP.URB.TOTL,1974,20513447
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1974,80.567
Argentina,ARG,Urban population growth (annual %),SP.URB.GROW,1975,2.105831044
Argentina,ARG,Population growth (annual %),SP.POP.GROW,1975,1.608108356
Argentina,ARG,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,1975,44.32298282
Argentina,ARG,"Population, total",SP.POP.TOTL,1975,25874107
Argentina,ARG,Urban population,SP.URB.TOTL,1975,20950006
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1975,80.969
Argentina,ARG,Urban population growth (annual %),SP.URB.GROW,1976,2.054342053
Argentina,ARG,Population growth (annual %),SP.POP.GROW,1976,1.565232308
Argentina,ARG,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,1976,44.38690124
Argentina,ARG,"Population, total",SP.POP.TOTL,1976,26282283
Argentina,ARG,Urban population,SP.URB.TOTL,1976,21384842
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1976,81.366
Argentina,ARG,Urban population growth (annual %),SP.URB.GROW,1977,2.060561158
Argentina,ARG,Population growth (annual %),SP.POP.GROW,1977,1.583610413
Argentina,ARG,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,1977,44.44087956
Argentina,ARG,"Population, total",SP.POP.TOTL,1977,26701805
Argentina,ARG,Urban population,SP.URB.TOTL,1977,21830061
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1977,81.755
Argentina,ARG,Urban population growth (annual %),SP.URB.GROW,1978,2.067443805
Argentina,ARG,Population growth (annual %),SP.POP.GROW,1978,1.598850033
Argentina,ARG,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,1978,44.48942469
Argentina,ARG,"Population, total",SP.POP.TOTL,1978,27132158
Argentina,ARG,Urban population,SP.URB.TOTL,1978,22286083
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1978,82.139
Argentina,ARG,Urban population growth (annual %),SP.URB.GROW,1979,2.054775194
Argentina,ARG,Population growth (annual %),SP.POP.GROW,1979,1.596847799
Argentina,ARG,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,1979,44.53915545
Argentina,ARG,"Population, total",SP.POP.TOTL,1979,27568895
Argentina,ARG,Urban population,SP.URB.TOTL,1979,22748749
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1979,82.516
Argentina,ARG,Urban population growth (annual %),SP.URB.GROW,1980,2.041647908
Argentina,ARG,Population growth (annual %),SP.POP.GROW,1980,1.593042286
Argentina,ARG,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,1980,44.59192186
Argentina,ARG,"Population, total",SP.POP.TOTL,1980,28011596
Argentina,ARG,Urban population,SP.URB.TOTL,1980,23217972
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1980,82.887
Argentina,ARG,Urban population growth (annual %),SP.URB.GROW,1981,2.114646317
Argentina,ARG,Population growth (annual %),SP.POP.GROW,1981,1.602012321
Argentina,ARG,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,1981,44.50023976
Argentina,ARG,"Population, total",SP.POP.TOTL,1981,28463959
Argentina,ARG,Urban population,SP.URB.TOTL,1981,23714178
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1981,83.313
Argentina,ARG,Urban population growth (annual %),SP.URB.GROW,1982,2.138111916
Argentina,ARG,Population growth (annual %),SP.POP.GROW,1982,1.604206799
Argentina,ARG,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,1982,44.34705024
Argentina,ARG,"Population, total",SP.POP.TOTL,1982,28924262
Argentina,ARG,Urban population,SP.URB.TOTL,1982,24226673
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1982,83.759
Argentina,ARG,Urban population growth (annual %),SP.URB.GROW,1983,2.119905589
Argentina,ARG,Population growth (annual %),SP.POP.GROW,1983,1.601904245
Argentina,ARG,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,1983,44.1957207
Argentina,ARG,"Population, total",SP.POP.TOTL,1983,29391332
Argentina,ARG,Urban population,SP.URB.TOTL,1983,24745738
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1983,84.194
Argentina,ARG,Urban population growth (annual %),SP.URB.GROW,1984,2.098237761
Argentina,ARG,Population growth (annual %),SP.POP.GROW,1984,1.592356919
